East_m,North_m,Depth_m
568083.583,4470780.493,1.243
568083.434,4470780.762,1.225
568083.304,4470780.997,1.248
568083.171,4470781.202,1.202
568083.05,4470781.381,1.172
568082.941,4470781.535,1.204
568082.799,4470781.64,1.207
568082.61,4470781.689,1.222
568082.438,4470781.731,1.228
568082.282,4470781.726,1.218
568082.256,4470781.612,1.227
568082.448,4470781.54,1.25
568082.683,4470781.46,1.232
568082.973,4470781.364,1.174
568083.343,4470781.213,1.228
568083.748,4470781.055,1.237
568084.126,4470780.888,1.276
568084.445,4470780.715,1.281
568084.661,4470780.523,1.263
568084.843,4470780.321,1.309
568084.993,4470780.145,1.36
568085.144,4470780.02,1.347
568085.29,4470779.907,1.363
568085.382,4470779.805,1.375
568085.422,4470779.67,1.371
568085.436,4470779.523,1.378
568085.411,4470779.376,1.391
568085.367,4470779.235,1.373
568085.38,4470779.145,1.37
568085.457,4470779.137,1.383
568085.591,4470779.11,1.381
568085.784,4470779.089,1.37
